nodes,in_gwas_catalog,alc_val,ALC_TRAIT,SMOK_TRAIT,SUD_TRAIT,NEUROPSYCH_TRAIT,HGNC Symbol,Approved name,family,GeneSet,adjP,N_Geneset,Heart_Atrial_Appendage,Heart_Left_Ventricle,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Colon_Transverse,Esophagus_Mucosa,Liver,Minor_Salivary_Gland,Pancreas,Small_Intestine_Terminal_Ileum,Stomach,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Adrenal_Gland,Cells_Cultured_fibroblasts,Muscle_Skeletal,Whole_Blood,Bladder,Kidney_Cortex,genebass_phewas
LIMA1,TRUE,FALSE,,,,"{'schizophrenia: schizophrenia (PMID: 34380480)', 'schizophrenia: schizophrenia (PMID: 26198764)', 'schizophrenia: schizophrenia (PMID: 33169155)'}",LIMA1,LIM domain and actin binding 1,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal', 'Whole_Blood', 'Bladder']","[9.75e-06, 1.71e-06, 2.02e-14, 3.45e-08, 6.3e-06, 0.00480754, 0.000927226, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.014497681, 1.51e-05, 0.000130212, 0.019506718]",20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"['operative procedures - main opcs4', 'gamma glutamyltransferase', 'date n11 first reported (chronic tubulo-interstitial nephritis)', 'non-cancer illness code, self-reported', 'non-cancer illness code, self-reported', 'operation code', 'operative procedures - main opcs4', 'date i82 first reported (other venous embolism and thrombosis)', 'operative procedures - main opcs4', 'gamma glutamyltransferase', 'date n11 first reported (chronic tubulo-interstitial nephritis)', 'treatment/medication code', 'treatment/medication code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'date a42 first reported (actinomycosis)', 'date j86 first reported (pyothorax)']"
LINS1,TRUE,FALSE,,,,,LINS1,lines homolog 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['treatment/medication code', 'treatment/medication code', 'operative procedures - secondary opcs4', 'treatment/medication code', 'treatment/medication code', 'weighted-mean od in tract posterior thalamic radiation (left)']"
LRATD2,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['cancer code, self-reported', 'non-cancer illness code, self-reported', 'non-cancer illness code, self-reported', 'treatment/medication code', 'treatment/medication code', 'operation code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', '', '', '', '', 'date l52 first reported (erythema nodosum)', 'cancer code, self-reported', 'non-cancer illness code, self-reported', 'non-cancer illness code, self-reported', 'treatment/medication code', 'treatment/medication code', 'operation code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', '', '', '', '', 'date l52 first reported (erythema nodosum)', 'non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - main opcs4', 'mean fa in inferior cerebellar peduncle on fa skeleton (right)', 'mean fa in inferior cerebellar peduncle on fa skeleton (left)', 'mean l1 in inferior cerebellar peduncle on fa skeleton (right)', 'mean od in inferior cerebellar peduncle on fa skeleton (right)', '', 'date k00 first reported (disorders of tooth development and eruption)']"
LRRC37A2,TRUE,FALSE,,,,{'intelligence: general cognitive ability (PMID: 29844566)'},,,,"['Heart_Atrial_Appendage', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Putamen_basal_ganglia', 'Brain_Substantia_nigra', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal']","[9.75e-06, 2.02e-14, 3.45e-08, 6.3e-06, 0.009738567, 5.23e-05, 7.29e-09, 1.48e-05, 0.014497681, 1.51e-05]",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"['date m20 first reported (acquired deformities of fingers and toes)', 'treatment/medication code', 'date m20 first reported (acquired deformities of fingers and toes)', 'operative procedures - secondary opcs4', 'ecg, heart rate']"
MASP2,TRUE,FALSE,,,,,MASP2,MBL associated serine protease 2,,"['Heart_Atrial_Appendage', 'Esophagus_Mucosa', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal', 'Kidney_Cortex']","[9.75e-06, 0.01517091, 2.02e-14, 3.45e-08, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.007778759, 0.014497681, 1.51e-05, 2.19e-13]",21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"['volume of brain, grey+white matter', 'date n35 first reported (urethral stricture)', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', '', 'date e29 first reported (testicular dysfunction)', 'date o42 first reported (premature rupture of membranes)', 'volume of brain, grey+white matter', 'non-cancer illness code, self-reported', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', '']"
MECP2,TRUE,FALSE,,,,"{'schizophrenia: schizophrenia (PMID: 35396580)', 'schizophrenia: schizophrenia (PMID: 24043878)'}",,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Esophagus_Mucosa', 'Liver', 'Pancreas', 'Brain_Amygdala', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Hippocampus', 'Brain_Putamen_basal_ganglia', 'Brain_Substantia_nigra', 'Muscle_Skeletal', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 0.01517091, 2.02e-14, 3.45e-08, 6.3e-06, 0.000927226, 0.009738567, 5.23e-05, 0.000201512, 7.29e-09, 1.48e-05, 1.51e-05, 2.19e-13]",14,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"['operative procedures - main opcs4', 'treatment/medication code', 'date n00 first reported (acute nephritic syndrome)', 'date o36 first reported (maternal care for other known or suspected foetal problems)']"
MECR,TRUE,FALSE,,,,{'schizophrenia: schizophrenia (PMID: 26531332)'},,,,"['Liver', 'Pancreas', 'Small_Intestine_Terminal_Ileum', 'Whole_Blood']","[2.02e-14, 3.45e-08, 0.000166514, 0.000130212]",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"['operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'body fat percentage adjusted for body mass index (bfpadjbmi) female', 'date f02 first reported (dementia in other diseases classified elsewhere)']"
MGST1,TRUE,FALSE,,"{'smoking status measurement: smoking initiation (ever regular vs never regular) (PMID: 30643251)', 'smoking initiation: smoking initiation (PMID: 36477530)', 'smoking cessation: smoking cessation (PMID: 36477530)', 'smoking initiation: smoking initiation (PMID: 33082346)', 'smoking status measurement: smoking initiation (ever regular vs never regular) (mtag) (PMID: 30643251)', 'cigarettes per day measurement: cigarettes smoked per day (mtag) (PMID: 30643251)', 'smoking cessation: smoking cessation (mtag) (PMID: 30643251)', 'smoking initiation: smoking initiation (mtag) (PMID: 37156939)'}",,"{'neuroticism measurement, cognitive function measurement: personality traits or cognitive traits (multivariate analysis) (PMID: 37365406)'}",MGST1,microsomal glutathione S-transferase 1,,"['Heart_Left_Ventricle', 'Skin_Sun_Exposed_Lower_leg', 'Esophagus_Mucosa', 'Liver', 'Pancreas', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Hippocampus', 'Brain_Spinal_cord_cervical_c-1', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts', 'Muscle_Skeletal', 'Whole_Blood', 'Bladder']","[1.71e-06, 0.007854812, 0.01517091, 2.02e-14, 3.45e-08, 0.009738567, 5.23e-05, 0.018007353, 0.000201512, 0.008067638, 0.007778759, 0.014497681, 1.51e-05, 0.000130212, 0.019506718]",15,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"['operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - main opcs4']"
MLF1,TRUE,FALSE,,,,"{'unipolar depression: depression (PMID: 29700475)', 'unipolar depression: major depressive disorder (PMID: 27479909)'}",,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Colon_Transverse', 'Esophagus_Mucosa', 'Minor_Salivary_Gland', 'Pancreas', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Brain_Caudate_basal_ganglia', 'Brain_Nucleus_accumbens_basal_ganglia', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts']","[9.75e-06, 1.71e-06, 0.000559154, 0.007854812, 0.010612249, 0.01517091, 0.008161939, 3.45e-08, 0.000166514, 0.000264488, 0.000927226, 0.008042111, 0.007778759, 0.014497681]",14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"['treatment/medication code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', '', '', 'date a54 first reported (gonococcal infection)', 'date d61 first reported (other aplastic anaemias)', 'date m49 first reported (spondylopathies in diseases classified elsewhere)', 'operative procedures - secondary opcs4', 'non-cancer illness code, self-reported', 'treatment/medication code', 'treatment/medication code', 'treatment/medication code', 'operation code', 'operation code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', '', '', 'date a54 first reported (gonococcal infection)', 'date d61 first reported (other aplastic anaemias)', 'date m49 first reported (spondylopathies in diseases classified elsewhere)', 'volume of grey matter in angular gyrus (right)']"
MLX,TRUE,FALSE,,,,"{""parkinson disease: parkinson's disease (PMID: 38155330)""}",MLX,MAX dimerization protein MLX,MLX-interacting protein,"['Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra']","[6.3e-06, 0.00480754, 0.000927226, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05]",11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"['non-cancer illness code, self-reported', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'year of birth', 'non-cancer illness code, self-reported', 'non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4']"
MLXIPL,TRUE,TRUE,"{'alcohol consumption measurement, high density lipoprotein cholesterol measurement: hdl cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) (PMID: 30698716)', 'triglyceride measurement, alcohol drinking: triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) (PMID: 30698716)', 'alcohol use disorder measurement, alcohol consumption measurement: problematic alcohol use (mtag) (PMID: 32451486)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (PMID: 30643251)', 'alcohol consumption measurement: drinks per week (PMID: 36477530)', 'bitter alcoholic beverage consumption measurement: bitter alcoholic beverage consumption (PMID: 31046077)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (mtag) (PMID: 30643251)', 'alcohol consumption measurement: problematic alcohol use (mtag) (PMID: 36301540)', 'triglyceride measurement, alcohol consumption measurement: triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) (PMID: 30698716)', 'alcohol consumption measurement: alcohol consumption (PMID: 31358974)', 'alcohol consumption measurement: maximum habitual alcohol consumption (mtag) (PMID: 36301540)', 'alcohol drinking, high density lipoprotein cholesterol measurement: hdl cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) (PMID: 30698716)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (mtag) (PMID: 32451486)', 'alcohol consumption measurement: alcohol consumption (drinks per week) (PMID: 30643258)'}",{'cigarettes per day measurement: cigarettes smoked per day (mtag) (PMID: 36376304)'},,,MLXIPL,MLX interacting protein like,MLX-interacting protein,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Esophagus_Mucosa', 'Liver', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Putamen_basal_ganglia', 'Adrenal_Gland', 'Muscle_Skeletal', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 0.000559154, 0.007854812, 0.01517091, 2.02e-14, 0.000166514, 0.000264488, 0.000927226, 0.009738567, 5.23e-05, 7.29e-09, 0.007778759, 1.51e-05, 2.19e-13]",15,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"['alanine aminotransferase', 'hip circumference adjusted for body mass index (hcadjbmi)', 'hip circumference adjusted for body mass index (hcadjbmi) female', 'date d72 first reported (other disorders of white blood cells)', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'triglycerides', 'waist-to-hip ratio (whr)', 'waist-to-hip ratio adjusted for body mass index (whradjbmi)', 'ratio of circulating triglycerides to circulating hdl', 'date f13 first reported (mental and behavioural disorders due to use of sedatives or hypnotics)', 'alanine aminotransferase', 'apolipoprotein a', 'hdl cholesterol', 'hip circumference adjusted for body mass index (hcadjbmi)', 'hip circumference adjusted for body mass index (hcadjbmi) female', 'date d72 first reported (other disorders of white blood cells)', 'operative procedures - main opcs4', 'gamma glutamyltransferase', 'hdl cholesterol', 'triglycerides', 'urate', 'ratio of circulating triglycerides to circulating hdl']"
MNS1,TRUE,FALSE,,,,,MNS1,meiosis specific nuclear structural 1,,"['Heart_Atrial_Appendage', 'Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Colon_Transverse', 'Pancreas', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Putamen_basal_ganglia', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts']","[9.75e-06, 0.000559154, 0.007854812, 0.010612249, 3.45e-08, 0.000166514, 0.000264488, 0.00480754, 0.009738567, 5.23e-05, 0.018007353, 7.29e-09, 0.007778759, 0.014497681]",14,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"['operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'date o12 first reported (gestational [pregnancy-induced] oedema and proteinuria without hypertension)', 'bipolar and major depression status', 'operative procedures - main opcs4', 'mean tfmri head motion, averaged across space and time points', 'bipolar and major depression status', 'operative procedures - main opcs4', 'date g57 first reported (mononeuropathies of lower limb)', 'date o12 first reported (gestational [pregnancy-induced] oedema and proteinuria without hypertension)', 'weighted-mean mo in tract middle cerebellar peduncle', 'alkaline phosphatase']"
MPP3,TRUE,TRUE,"{'alcohol consumption measurement, high density lipoprotein cholesterol measurement: hdl cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) (PMID: 30698716)', 'triglyceride measurement, alcohol drinking: triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) (PMID: 30698716)', 'alcohol consumption measurement: drinks per week (PMID: 36477530)', 'triglyceride measurement, alcohol consumption measurement: triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) (PMID: 30698716)', 'alcohol drinking, high density lipoprotein cholesterol measurement: hdl cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) (PMID: 30698716)'}","{'smoking initiation: smoking initiation (PMID: 36477530)', 'smoking status measurement: smoking initiation (ever regular vs never regular) (mtag) (PMID: 30643251)'}",,"{'alzheimer disease, age at onset: alzheimer disease and age of onset (PMID: 26830138)'}",,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Colon_Transverse', 'Minor_Salivary_Gland', 'Pancreas', 'Small_Intestine_Terminal_Ileum', 'Stomach', 'Brain_Amygdala', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Hippocampus', 'Brain_Hypothalamus', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Adrenal_Gland', 'Muscle_Skeletal', 'Kidney_Cortex']","[9.75e-06, 1.71e-06, 0.000559154, 0.007854812, 0.010612249, 0.008161939, 3.45e-08, 0.000166514, 0.000264488, 6.3e-06, 0.00480754, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.000201512, 0.004523032, 0.008042111, 7.29e-09, 0.008067638, 1.48e-05, 0.007778759, 1.51e-05, 2.19e-13]",25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"['operative procedures - secondary opcs4', 'volume of grey matter in x cerebellum (right)', 'treatment/medication code', 'operation code', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'sitting height', 'date k10 first reported (other diseases of jaws)', 'operative procedures - secondary opcs4', 'treatment/medication code', 'apolipoprotein a', 'hdl cholesterol', 'triglycerides', 'ratio of circulating triglycerides to circulating hdl']"
NAGPA,TRUE,FALSE,,,,"{'neuroticism measurement, cognitive function measurement: personality traits or cognitive traits (multivariate analysis) (PMID: 37365406)'}",,,,"['Heart_Atrial_Appendage', 'Heart_Left_Ventricle', 'Liver', 'Pancreas', 'Brain_Anterior_cingulate_cortex_BA24', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Brain_Substantia_nigra', 'Muscle_Skeletal']","[9.75e-06, 1.71e-06, 2.02e-14, 3.45e-08, 0.00480754, 0.018007353, 0.014299599, 0.008042111, 0.008067638, 1.48e-05, 1.51e-05]",11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"['treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', 'heart failure', 'date g96 first reported (other disorders of central nervous system)', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'operative procedures - secondary opcs4', ""c81 hodgkin's disease"", 'non-cancer illness code, self-reported', 'treatment/medication code', 'operative procedures - main opcs4', 'operative procedures - main opcs4', 'operative procedures - secondary opcs4', 'heart failure', 'date g96 first reported (other disorders of central nervous system)', 'non-cancer illness code, self-reported']"
NECAB3,TRUE,FALSE,,,,,,,,"['Skin_Not_Sun_Exposed_Suprapubic', 'Skin_Sun_Exposed_Lower_leg', 'Esophagus_Mucosa', 'Liver', 'Pancreas', 'Stomach', 'Brain_Caudate_basal_ganglia', 'Brain_Cerebellar_Hemisphere', 'Brain_Cerebellum', 'Brain_Cortex', 'Brain_Frontal_Cortex_BA9', 'Brain_Nucleus_accumbens_basal_ganglia', 'Brain_Putamen_basal_ganglia', 'Brain_Spinal_cord_cervical_c-1', 'Adrenal_Gland', 'Cells_Cultured_fibroblasts', 'Whole_Blood', 'Kidney_Cortex']","[0.000559154, 0.007854812, 0.01517091, 2.02e-14, 3.45e-08, 0.000264488, 0.000927226, 0.009738567, 5.23e-05, 0.018007353, 0.014299599, 0.008042111, 7.29e-09, 0.008067638, 0.007778759, 0.014497681, 0.000130212, 2.19e-13]",18,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"['treatment/medication code', 'treatment/medication code', 'frequency of inability to cease drinking in last year', 'recent trouble concentrating on things', 'recent feelings of depression', 'treatment/medication code', 'non-cancer illness code, self-reported', 'operative procedures - main opcs4']"
